Date,AAVE,BTC,LINK,COMP,CURVE,ETH,SUSHI,SYNTH,UNI,YFI
2021-10-21,4.14%,2.53%,5.96%,4.63%,4.89%,6.48%,7.53%,5.59%,3.84%,3.69%
2021-10-20,3.33%,3.63%,0.82%,1.08%,0.11%,3.51%,-0.67%,-0.03%,1.54%,2.68%
2021-10-19,-3.43%,0.80%,-3.08%,-1.76%,-2.61%,-2.59%,-3.30%,-1.69%,-1.08%,-1.76%
2021-10-18,-0.09%,1.05%,-2.56%,-1.89%,-1.30%,0.48%,-1.99%,-2.11%,-3.99%,-1.90%
2021-10-17,1.13%,-1.20%,0.91%,0.14%,0.26%,-0.94%,2.92%,0.14%,4.35%,-2.48%
2021-10-16,-0.75%,7.52%,1.08%,0.49%,0.41%,2.31%,3.00%,-1.83%,-2.07%,1.95%
2021-10-15,2.04%,-0.13%,4.51%,3.31%,-2.60%,4.74%,3.98%,5.73%,7.12%,2.03%
2021-10-14,4.82%,2.43%,3.68%,-0.52%,10.38%,3.29%,2.89%,1.90%,5.21%,-0.71%
2021-10-13,-2.35%,-2.53%,-2.38%,1.13%,-0.36%,-1.48%,-2.76%,-3.98%,-2.95%,-1.60%
2021-10-12,0.83%,5.07%,-1.35%,-0.20%,-0.15%,3.71%,-0.14%,0.00%,-0.20%,8.60%
2021-10-11,-6.19%,-0.47%,-6.79%,-8.10%,-7.08%,-4.41%,-5.44%,-5.72%,-3.67%,-3.94%
2021-10-10,-0.11%,1.86%,3.94%,5.28%,-1.84%,0.30%,1.77%,1.07%,1.46%,-1.87%
2021-10-09,0.61%,0.17%,-1.85%,-0.92%,5.69%,-1.01%,-0.87%,-2.00%,-3.13%,7.47%
2021-10-08,-2.04%,-2.62%,0.25%,3.22%,2.22%,0.70%,2.61%,0.45%,1.13%,0.48%
2021-10-07,1.41%,7.40%,-1.52%,-1.02%,-6.89%,1.67%,-2.32%,-2.39%,-1.46%,0.52%
2021-10-06,2.22%,4.61%,2.37%,-1.06%,2.22%,3.86%,4.35%,1.99%,1.26%,3.58%
2021-10-05,-3.08%,2.12%,-3.48%,-4.09%,2.15%,-0.95%,-4.19%,-3.98%,-2.55%,-1.85%
2021-10-04,-1.90%,0.23%,0.49%,-4.46%,8.72%,0.12%,-2.16%,-3.46%,-1.82%,-2.97%
2021-10-03,5.50%,-0.09%,4.11%,5.05%,2.72%,3.50%,2.17%,5.80%,4.37%,2.06%
2021-10-02,9.01%,9.95%,10.88%,5.21%,8.65%,9.84%,7.48%,9.43%,8.81%,8.56%
2021-10-01,3.80%,5.36%,3.89%,1.15%,1.46%,5.32%,5.93%,3.25%,1.31%,2.04%
2021-09-30,0.43%,-0.21%,2.83%,-5.41%,-0.48%,-0.25%,-2.67%,-1.48%,-1.65%,0.36%
2021-09-29,-4.69%,-3.29%,-5.41%,-6.13%,-2.97%,-4.55%,-2.46%,-5.88%,3.91%,-2.69%
2021-09-28,-5.54%,-0.25%,-4.34%,-2.59%,-6.80%,-2.13%,-12.13%,-4.22%,-6.28%,-3.63%
2021-09-27,6.65%,1.13%,0.34%,6.79%,10.17%,4.47%,19.82%,2.67%,23.34%,0.46%
2021-09-26,-2.06%,-0.37%,5.25%,-3.02%,-4.96%,-0.08%,-1.76%,-3.22%,-0.94%,3.25%
2021-09-25,-9.11%,-4.55%,-8.49%,-8.78%,-12.90%,-7.10%,-8.89%,-10.50%,-8.56%,-6.38%
2021-09-24,2.37%,3.03%,4.01%,7.60%,13.78%,2.88%,1.14%,7.49%,-0.52%,2.50%
2021-09-23,11.19%,6.99%,14.14%,11.30%,11.71%,10.89%,13.90%,14.86%,13.53%,11.43%
2021-09-22,-6.77%,-4.95%,-8.81%,-7.02%,-8.65%,-7.68%,-9.88%,-10.14%,-8.64%,-7.08%
2021-09-21,-14.33%,-9.32%,-14.13%,-14.41%,-20.95%,-9.97%,-14.80%,-17.14%,-12.70%,-10.63%
2021-09-20,-4.07%,-1.52%,-2.87%,-1.62%,5.47%,-2.70%,-4.50%,2.36%,-1.41%,-2.17%
2021-09-19,-0.01%,1.47%,1.69%,-0.24%,2.75%,0.68%,0.72%,-2.27%,-0.34%,1.44%
