Date,AAVE,BTC,LINK,COMP,CURVE,ETH,SUSHI,SYNTH,UNI,YFI,
2021-10-21,,,,,,,,,,,
2021-10-20,0.28%,68.92%,1.52%,0.18%,0.26%,26.99%,0.15%,0.13%,1.50%,0.07%,100.00%
2021-10-19,0.28%,69.76%,1.49%,0.18%,0.26%,26.19%,0.15%,0.13%,1.50%,0.07%,100.00%
2021-10-18,0.28%,69.63%,1.53%,0.18%,0.27%,26.22%,0.15%,0.13%,1.53%,0.07%,100.00%
2021-10-17,0.29%,68.96%,1.58%,0.18%,0.27%,26.81%,0.16%,0.13%,1.54%,0.08%,100.00%
2021-10-16,0.29%,68.67%,1.63%,0.19%,0.28%,26.94%,0.16%,0.14%,1.62%,0.08%,100.00%
2021-10-15,0.29%,68.80%,1.60%,0.19%,0.28%,26.94%,0.15%,0.14%,1.54%,0.08%,100.00%
2021-10-14,0.30%,67.69%,1.67%,0.20%,0.29%,27.82%,0.16%,0.15%,1.64%,0.08%,100.00%
2021-10-13,0.30%,68.76%,1.62%,0.19%,0.30%,26.87%,0.15%,0.14%,1.57%,0.08%,100.00%
2021-10-12,0.30%,69.01%,1.61%,0.20%,0.28%,26.71%,0.15%,0.14%,1.53%,0.08%,100.00%
2021-10-11,0.30%,69.21%,1.61%,0.19%,0.28%,26.49%,0.16%,0.14%,1.54%,0.08%,100.00%
2021-10-10,0.31%,68.65%,1.71%,0.20%,0.29%,26.83%,0.16%,0.15%,1.62%,0.08%,100.00%
2021-10-09,0.32%,67.81%,1.79%,0.22%,0.31%,27.49%,0.17%,0.16%,1.65%,0.08%,100.00%
2021-10-08,0.33%,67.56%,1.75%,0.21%,0.31%,27.79%,0.17%,0.16%,1.64%,0.08%,100.00%
2021-10-07,0.32%,67.31%,1.78%,0.21%,0.30%,27.97%,0.17%,0.16%,1.69%,0.08%,100.00%
2021-10-06,0.32%,67.97%,1.75%,0.20%,0.29%,27.42%,0.16%,0.16%,1.65%,0.08%,100.00%
2021-10-05,0.34%,66.69%,1.88%,0.21%,0.32%,28.37%,0.17%,0.17%,1.76%,0.08%,100.00%
2021-10-04,0.35%,66.46%,1.90%,0.22%,0.33%,28.50%,0.17%,0.17%,1.81%,0.08%,100.00%
2021-10-03,0.36%,65.70%,2.00%,0.24%,0.33%,29.05%,0.18%,0.18%,1.88%,0.08%,100.00%
