Date,AAVE,BTC,LINK,COMP,CURVE,ETH,SUSHI,SYNTH,UNI,YFI,Total
2021-10-21,,,,,,,,,,,
2021-10-20,5061052967,1245221514980,27466146861,3227857705,4710117169,487712403928,2715114251,2349043343,27043209660,1320673184,1806827134048
2021-10-19,4857369272,1211781363656,25917435611,3067063196,4511078834,455004053479,2535374009,2222776101,26009620621,1270658667,1737176793446
2021-10-18,4705907207,1168109108621,25682087772,3052167621,4503052306,439834116103,2545535704,2222891401,25615440997,1240709417,1677511017149
2021-10-17,4863378223,1158348928965,26461438461,3102781702,4604628316,450421878525,2627693909,2252821380,25868452548,1271072037,1679823074065
2021-10-16,4883956108,1148296342323,27322326421,3175371256,4691270392,450439807179,2694968915,2311839990,27038267828,1290777535,1672144927945
2021-10-15,4820320244,1157932253824,26932760772,3170434304,4670064598,453346216117,2606521428,2306185545,25835060373,1319830964,1682939648170
2021-10-14,4846125598,1081333675898,26638347398,3140191159,4630510783,444515570439,2535417283,2338780801,26278112080,1292076891,1597548808331
2021-10-13,4747345667,1080622323471,25490020687,3041176094,4771488682,422325348966,2388821997,2216464756,24604701611,1266831784,1571474523716
2021-10-12,4530017660,1058842478838,24629402482,3054037222,4313056321,409830453620,2365677369,2172189590,23401679979,1276115541,1534415108623
2021-10-11,4629496623,1079388786986,25091788290,3012511320,4305856919,413134557003,2417343851,2243051789,24054841658,1295054305,1559573288746
2021-10-10,4632915634,1030579975221,25644738351,3057099151,4339954067,402843444549,2418131502,2272664764,24281350621,1200433220,1501270707080
2021-10-09,4916993223,1036359022484,27432259790,3310508279,4666292075,420178521566,2570598434,2397723543,25186607302,1247743605,1528266270300
2021-10-08,4908435383,1016011255922,26316681671,3124599920,4690526439,417952687404,2524222091,2364730682,24737567332,1267245917,1503897952761
2021-10-07,4893154088,1013552627932,26823377803,3153888988,4496136045,421256930633,2535633365,2423435382,25521108625,1178295093,1505834587954
2021-10-06,4982124164,1043919575657,26913350142,3069982420,4393419631,421152388380,2487283777,2417522082,25293648260,1179793719,1535809088232
